tag,mode,round,round_secs,bytes_per_round,samples_per_local_epoch,fipca_rank,dp_sigma,eval_loss,eval_ssim,eval_psnr
fedsafe_fipca,fipca,41,6.980348825454712,384,40,32,,,,
fedsafe_fipca,fipca,42,6.826339483261108,384,40,32,,,,
fedsafe_fipca,fipca,43,6.940819263458252,384,40,32,,,,
fedsafe_fipca,fipca,44,6.717813491821289,384,40,32,,,,
fedsafe_fipca,fipca,45,7.0297064781188965,384,40,32,,0.986067071557045,0.23928666859865189,11.457410901784897
fedsafe_fipca,fipca,46,6.845864772796631,384,40,32,,,,
fedsafe_fipca,fipca,47,6.89406156539917,384,40,32,,,,
fedsafe_fipca,fipca,48,6.784013509750366,384,40,32,,,,
fedsafe_fipca,fipca,49,6.962635517120361,384,40,32,,,,
fedsafe_fipca,fipca,50,6.889985799789429,384,40,32,,0.9860617741942406,0.23929843306541443,11.45683839917183
