tag,mode,round,round_secs,bytes_per_round,samples_per_local_epoch,fipca_rank,error_feedback,resample_basis,dp_sigma,eval_loss,eval_ssim,eval_psnr
ifcnn_fipca_efrs_d2048,fipca,16,10.712103605270386,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,17,10.806627750396729,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,18,10.81743860244751,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,19,10.811887502670288,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,20,10.816946506500244,24576,40,2048,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d2048,fipca,21,10.689468145370483,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,22,10.653799057006836,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,23,10.569779396057129,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,24,10.553311109542847,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,25,10.58224368095398,24576,40,2048,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d2048,fipca,26,10.491934776306152,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,27,10.584473848342896,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,28,10.602641582489014,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,29,10.610842227935791,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,30,10.601698160171509,24576,40,2048,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d2048,fipca,31,10.487014770507812,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,32,10.593064546585083,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,33,10.591710805892944,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,34,10.591178178787231,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,35,10.573015689849854,24576,40,2048,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d2048,fipca,36,10.483115673065186,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,37,10.592647552490234,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,38,10.573895454406738,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,39,10.575817108154297,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,40,10.574701070785522,24576,40,2048,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d2048,fipca,41,10.480502128601074,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,42,10.575445175170898,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,43,10.574740171432495,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,44,10.57731032371521,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,45,10.611281156539917,24576,40,2048,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d2048,fipca,46,10.500840187072754,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,47,10.61019778251648,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,48,10.593441724777222,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,49,10.572387933731079,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,50,10.60018014907837,24576,40,2048,True,True,,nan,nan,nan
fedsafe_fipca_efrs_d32,fipca,1,7.82859468460083,384,40,32,True,True,,0.9881740435957909,0.23932283371686935,11.294853687286377
fedsafe_fipca_efrs_d32,fipca,2,7.191635608673096,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,3,6.860506534576416,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,4,7.08393406867981,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,5,6.860567092895508,384,40,32,True,True,,0.9881483837962151,0.239330492913723,11.296073347330093
fedsafe_fipca_efrs_d32,fipca,6,7.3424460887908936,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,7,6.8933258056640625,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,8,7.1570045948028564,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,9,6.890085697174072,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,10,7.261346817016602,384,40,32,True,True,,0.9882541969418526,0.23930944502353668,11.290293335914612
fedsafe_fipca_efrs_d32,fipca,11,6.957714319229126,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,12,6.971461296081543,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,13,6.873117446899414,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,14,6.9660327434539795,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,15,6.867126703262329,384,40,32,True,True,,0.9884279668331146,0.2392895221710205,11.2799072265625
fedsafe_fipca_efrs_d32,fipca,16,6.944957971572876,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,17,7.026400804519653,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,18,6.947206735610962,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,19,6.892980098724365,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,20,6.8810882568359375,384,40,32,True,True,,0.9885396361351013,0.23931915313005447,11.270483136177063
fedsafe_fipca_efrs_d32,fipca,21,7.051695108413696,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,22,6.90267539024353,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,23,6.855241060256958,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,24,6.850308418273926,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,25,7.030060291290283,384,40,32,True,True,,0.9884221404790878,0.23930417746305466,11.279351562261581
fedsafe_fipca_efrs_d32,fipca,26,6.8556904792785645,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,27,7.013798236846924,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,28,6.911303758621216,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,29,6.866609334945679,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,30,7.018799066543579,384,40,32,True,True,,0.9880110323429108,0.23935406655073166,11.303756982088089
fedsafe_fipca_efrs_d32,fipca,31,6.998827219009399,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,32,6.855334758758545,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,33,6.925852298736572,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,34,7.025493860244751,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,35,7.02195143699646,384,40,32,True,True,,0.9879779368638992,0.23933887481689453,11.307114064693451
fedsafe_fipca_efrs_d32,fipca,36,6.876965284347534,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,37,7.043874740600586,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,38,6.843254327774048,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,39,7.199930906295776,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,40,6.9381866455078125,384,40,32,True,True,,0.9882848635315895,0.23928489536046982,11.29027545452118
fedsafe_fipca_efrs_d32,fipca,41,7.03081750869751,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,42,6.88173770904541,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,43,7.175877571105957,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,44,6.858430624008179,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,45,7.024475336074829,384,40,32,True,True,,0.9884710013866425,0.23920372873544693,11.285664141178131
fedsafe_fipca_efrs_d32,fipca,46,6.877323389053345,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,47,7.148796081542969,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,48,6.816798686981201,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,49,7.014579772949219,384,40,32,True,True,,,,
fedsafe_fipca_efrs_d32,fipca,50,6.817323684692383,384,40,32,True,True,,0.9895909354090691,0.23889657109975815,11.185521632432938
