tag,mode,round,round_secs,bytes_per_round,samples_per_local_epoch,fipca_rank,error_feedback,dp_sigma,eval_loss,eval_ssim,eval_psnr
fedsafe_fipca_ef_d128,fipca,7,7.226449728012085,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,8,7.0166497230529785,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,9,7.436549186706543,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,10,7.000087022781372,1536,40,128,True,,0.9886136949062347,0.23929410427808762,11.267143189907074
fedsafe_fipca_ef_d128,fipca,11,7.257329225540161,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,12,7.050893068313599,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,13,7.382092475891113,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,14,7.095112562179565,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,15,7.285076379776001,1536,40,128,True,,0.9886040464043617,0.23930642008781433,11.266967058181763
fedsafe_fipca_ef_d128,fipca,16,7.035515785217285,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,17,7.300588130950928,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,18,7.064394474029541,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,19,7.187373161315918,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,20,7.179991960525513,1536,40,128,True,,0.9886036738753319,0.23931270837783813,11.266575008630753
fedsafe_fipca_ef_d128,fipca,21,7.213136196136475,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,22,7.206843137741089,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,23,7.003667593002319,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,24,7.3353447914123535,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,25,6.972918510437012,1536,40,128,True,,0.9886443093419075,0.23928537964820862,11.265691667795181
fedsafe_fipca_ef_d128,fipca,26,7.35414981842041,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,27,7.025972843170166,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,28,7.488891124725342,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,29,7.037919998168945,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,30,7.330970287322998,1536,40,128,True,,0.9886415526270866,0.23930049687623978,11.264868676662445
fedsafe_fipca_ef_d128,fipca,31,7.041517496109009,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,32,7.352232933044434,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,33,7.025330305099487,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,34,7.075225353240967,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,35,7.156716585159302,1536,40,128,True,,0.9886303171515465,0.23931613564491272,11.264575719833374
fedsafe_fipca_ef_d128,fipca,36,7.107601165771484,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,37,7.355046510696411,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,38,6.995858192443848,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,39,7.261609077453613,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,40,7.0929882526397705,1536,40,128,True,,0.9886345639824867,0.23931317031383514,11.264487951993942
fedsafe_fipca_ef_d128,fipca,41,7.362015962600708,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,42,7.032334804534912,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,43,7.282622337341309,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,44,7.06789231300354,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,45,7.3121113777160645,1536,40,128,True,,0.9886286184191704,0.23932193964719772,11.264297068119049
fedsafe_fipca_ef_d128,fipca,46,7.061893463134766,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,47,7.27624249458313,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,48,7.122310400009155,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,49,7.214663028717041,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,50,7.182146787643433,1536,40,128,True,,0.9886806383728981,0.2392740547657013,11.264017224311829
ifcnn_fipca_ef_d32,fipca,1,7.305784463882446,384,40,32,True,,0.9853770136833191,0.23910417407751083,11.554069370031357
ifcnn_fipca_ef_d32,fipca,2,7.139692068099976,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,3,7.223311901092529,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,4,7.231123447418213,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,5,7.215429306030273,384,40,32,True,,0.9855495467782021,0.23897060751914978,11.551340073347092
ifcnn_fipca_ef_d32,fipca,6,7.158656358718872,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,7,7.243780136108398,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,8,7.244171142578125,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,9,7.221847057342529,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,10,7.233479022979736,384,40,32,True,,0.9857301041483879,0.23884639889001846,11.548564434051514
ifcnn_fipca_ef_d32,fipca,11,7.169611930847168,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,12,7.247598648071289,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,13,7.280129671096802,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,14,7.2588465213775635,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,15,7.269376277923584,384,40,32,True,,0.985528476536274,0.23902157694101334,11.548207700252533
ifcnn_fipca_ef_d32,fipca,16,7.1922948360443115,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,17,7.274233102798462,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,18,7.281473636627197,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,19,7.2877702713012695,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,20,7.2758469581604,384,40,32,True,,0.9858426079154015,0.2387751042842865,11.543850898742676
ifcnn_fipca_ef_d32,fipca,21,7.190418243408203,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,22,7.298221111297607,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,23,7.280258417129517,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,24,7.2967400550842285,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,25,7.284998178482056,384,40,32,True,,0.9865139648318291,0.2382080927491188,11.53939202427864
ifcnn_fipca_ef_d32,fipca,26,7.212608814239502,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,27,7.2907209396362305,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,28,7.302673578262329,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,29,7.300764083862305,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,30,7.290010690689087,384,40,32,True,,0.9872589334845543,0.23754999041557312,11.536380648612976
ifcnn_fipca_ef_d32,fipca,31,7.187540531158447,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,32,7.29089617729187,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,33,7.300677537918091,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,34,7.287797689437866,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,35,7.296938896179199,384,40,32,True,,0.9896949753165245,0.23531024903059006,11.530386507511139
ifcnn_fipca_ef_d32,fipca,36,7.22465968132019,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,37,7.309132099151611,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,38,7.297491550445557,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,39,7.287789344787598,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,40,7.288795709609985,384,40,32,True,,0.991406038403511,0.23382996022701263,11.523407101631165
ifcnn_fipca_ef_d32,fipca,41,7.207136154174805,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,42,7.290682077407837,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,43,7.311763763427734,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,44,7.291384696960449,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,45,7.293175935745239,384,40,32,True,,0.9912183582782745,0.23403280228376389,11.525010019540787
ifcnn_fipca_ef_d32,fipca,46,7.207106113433838,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,47,7.274564504623413,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,48,7.277893304824829,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,49,7.268935203552246,384,40,32,True,,,,
ifcnn_fipca_ef_d32,fipca,50,7.274698257446289,384,40,32,True,,0.9911747798323631,0.23427190631628036,11.522679030895233
